C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0000.jpg, dataset\Cats\0000.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0001.jpg, dataset\Cats\0001.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0002.jpg, dataset\Cats\0002.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0003.jpg, dataset\Cats\0003.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0004.jpg, dataset\Cats\0004.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0005.jpg, dataset\Cats\0005.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0006.jpg, dataset\Cats\0006.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0007.jpg, dataset\Cats\0007.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0008.jpg, dataset\Cats\0008.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0009.jpg, dataset\Cats\0009.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0010.jpg, dataset\Cats\0010.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0011.jpg, dataset\Cats\0011.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0012.jpg, dataset\Cats\0012.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0013.jpg, dataset\Cats\0013.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0014.jpg, dataset\Cats\0014.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0015.jpg, dataset\Cats\0015.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0016.jpg, dataset\Cats\0016.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0017.jpg, dataset\Cats\0017.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0018.jpg, dataset\Cats\0018.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0019.jpg, dataset\Cats\0019.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0020.jpg, dataset\Cats\0020.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0021.jpg, dataset\Cats\0021.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0022.jpg, dataset\Cats\0022.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0023.jpg, dataset\Cats\0023.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0024.jpg, dataset\Cats\0024.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0025.jpg, dataset\Cats\0025.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0026.jpg, dataset\Cats\0026.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0027.jpg, dataset\Cats\0027.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0028.jpg, dataset\Cats\0028.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0029.jpg, dataset\Cats\0029.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0030.jpg, dataset\Cats\0030.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0031.jpg, dataset\Cats\0031.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0032.jpg, dataset\Cats\0032.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0033.jpg, dataset\Cats\0033.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0034.jpg, dataset\Cats\0034.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0035.jpg, dataset\Cats\0035.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0036.jpg, dataset\Cats\0036.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0037.jpg, dataset\Cats\0037.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0038.jpg, dataset\Cats\0038.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0039.jpg, dataset\Cats\0039.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0040.jpg, dataset\Cats\0040.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0041.jpg, dataset\Cats\0041.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0042.jpg, dataset\Cats\0042.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0043.jpg, dataset\Cats\0043.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0044.jpg, dataset\Cats\0044.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0045.jpg, dataset\Cats\0045.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0046.jpg, dataset\Cats\0046.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0047.jpg, dataset\Cats\0047.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0048.jpg, dataset\Cats\0048.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0049.jpg, dataset\Cats\0049.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\Cats\0050.jpg, dataset\Cats\0050.jpg, Cat
