C:\Bydon (piton)\PP_Lab_2\dataset\cat_0000.jpg, dataset\cat_0000.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0001.jpg, dataset\cat_0001.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0002.jpg, dataset\cat_0002.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0003.jpg, dataset\cat_0003.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0004.jpg, dataset\cat_0004.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0005.jpg, dataset\cat_0005.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0006.jpg, dataset\cat_0006.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0007.jpg, dataset\cat_0007.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0008.jpg, dataset\cat_0008.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0009.jpg, dataset\cat_0009.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0010.jpg, dataset\cat_0010.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0011.jpg, dataset\cat_0011.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0012.jpg, dataset\cat_0012.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0013.jpg, dataset\cat_0013.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0014.jpg, dataset\cat_0014.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0015.jpg, dataset\cat_0015.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0016.jpg, dataset\cat_0016.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0017.jpg, dataset\cat_0017.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0018.jpg, dataset\cat_0018.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0019.jpg, dataset\cat_0019.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0020.jpg, dataset\cat_0020.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0021.jpg, dataset\cat_0021.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0022.jpg, dataset\cat_0022.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0023.jpg, dataset\cat_0023.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0024.jpg, dataset\cat_0024.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0025.jpg, dataset\cat_0025.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0026.jpg, dataset\cat_0026.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0027.jpg, dataset\cat_0027.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0028.jpg, dataset\cat_0028.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0029.jpg, dataset\cat_0029.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0030.jpg, dataset\cat_0030.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\cat_0031.jpg, dataset\cat_0031.jpg, Cat
