C:\Bydon (piton)\PP_Lab_2\dataset\2900.jpg, dataset\2900.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\860.jpg, dataset\860.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\825.jpg, dataset\825.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\2103.jpg, dataset\2103.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\689.jpg, dataset\689.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9886.jpg, dataset\9886.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8062.jpg, dataset\8062.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\6986.jpg, dataset\6986.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9696.jpg, dataset\9696.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\8662.jpg, dataset\8662.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\1658.jpg, dataset\1658.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4702.jpg, dataset\4702.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5746.jpg, dataset\5746.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\68.jpg, dataset\68.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3723.jpg, dataset\3723.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5110.jpg, dataset\5110.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\557.jpg, dataset\557.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7285.jpg, dataset\7285.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4433.jpg, dataset\4433.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4403.jpg, dataset\4403.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\7362.jpg, dataset\7362.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\638.jpg, dataset\638.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3348.jpg, dataset\3348.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\749.jpg, dataset\749.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\3375.jpg, dataset\3375.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\4597.jpg, dataset\4597.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\9567.jpg, dataset\9567.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5125.jpg, dataset\5125.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\928.jpg, dataset\928.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\5594.jpg, dataset\5594.jpg, Cat
C:\Bydon (piton)\PP_Lab_2\dataset\314.jpg, dataset\314.jpg, Cat
